id,id_str,screen_name,location,description,url,followers_count,friends_count,listedcount,created_at,favourites_count,verified,statuses_count,lang,status,default_profile,default_profile_image,has_extended_profile,name,bot
195370058,195370058,kanyejordan,None,This is what I do. I drop truth bombs.,None,2925,3,139,9/26/2010 14:45,0,FALSE,708,en,"Status(in_reply_to_status_id=None, favorited=False, geo=None, place=None, source='Kanye Jordan', contributors=None, retweet_count=0, id=373535627465457664, possibly_sensitive=False, _api=<tweepy.api.API object at 0x7f8cd26fe0f0>, coordinates=None, created_at=datetime.datetime(2013, 8, 30, 20, 0, 8), text='Liz Lemon, PUSHA-T:  MY NAME IS MY NAME.  COVER 2. OCT 8TH. http://t.co/eca7fxN4u9', lang='en', favorite_count=3, in_reply_to_status_id_str=None, retweeted=False, in_reply_to_screen_name=None, source_url='http://twitter.com/kanyejordan', entities={'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'display_url': 'pic.twitter.com/eca7fxN4u9', 'url': 'http://t.co/eca7fxN4u9', 'indices': [60, 82], 'expanded_url': 'https://twitter.com/kanyewest/status/373534087954194432/photo/1'}]}, in_reply_to_user_id_str=None, is_quote_status=False, in_reply_to_user_id=None, truncated=False, _json={'in_reply_to_status_id': None, 'entities': {'symbols': [], 'hashtags': [], 'user_mentions': [], 'urls': [{'display_url': 'pic.twitter.com/eca7fxN4u9', 'url': 'http://t.co/eca7fxN4u9', 'indices': [60, 82], 'expanded_url': 'https://twitter.com/kanyewest/status/373534087954194432/photo/1'}]}, 'geo': None, 'truncated': False, 'place': None, 'in_reply_to_status_id_str': None, 'contributors': None, 'id': 373535627465457664, 'possibly_sensitive': False, 'coordinates': None, 'created_at': 'Fri Aug 30 20:00:08 +0000 2013', 'text': 'Liz Lemon, PUSHA-T:  MY NAME IS MY NAME.  COVER 2. OCT 8TH. http://t.co/eca7fxN4u9', 'lang': 'en', 'favorite_count': 3, 'source': '<a href=""http://twitter.com/kanyejordan"" rel=""nofollow"">Kanye Jordan</a>', 'retweeted': False, 'in_reply_to_screen_name': None, 'in_reply_to_user_id': None, 'favorited': False, 'in_reply_to_user_id_str': None, 'is_quote_status': False, 'retweet_count': 0, 'id_str': '373535627465457664'}, id_str='373535627465457664')",TRUE,FALSE,FALSE,Kanye Jordan,1
7.95E+17,7.95E+17,astronaut_bot,None,Keeping an eye on astronauts coming and going. #NaBoMaMo bot by @NotInventedHere using #IFTTT.,None,9,0,5,Fri Nov 04 12:11:27 +0000 2016,0,FALSE,6,en,"{'created_at': 'Tue Nov 22 16:52:31 +0000 2016', 'id': 801106094462529536, 'id_str': '801106094462529536', 'text': 'Commander Jing Haipeng (China) has returned to Earth!', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': '<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 0, 'favorite_count': 0, 'favorited': False, 'retweeted': False, 'lang': 'en'}",TRUE,FALSE,FALSE,Astronaut Notifier,1
2976541239,2976541239,TheRiddlerBot,"Coimbra, Portugal","Solve the riddle by replying only the name of the person/character described! Created by @verhoevenben, @1vangro, @fvancesco, @pedrojmmartins at #codecampcc",https://t.co/1v8BON9QpT,132,46,24,1/13/2015 15:10,740,FALSE,7346,en,"Status(contributors=None, truncated=False, text=u'.@TheRevengerists Good job! The correct answer was Ron Burgundy.', is_quote_status=False, in_reply_to_status_id=841294078193090562, id=841294530813022208, favorite_count=0, _api=<tweepy.api.API object at 0x104120390>, source=u'TheRiddlerBot', _json={u'contributors': None, u'truncated': False, u'text': u'.@TheRevengerists Good job! The correct answer was Ron Burgundy.', u'is_quote_status': False, u'in_reply_to_status_id': 841294078193090562, u'id': 841294530813022208, u'favorite_count': 0, u'source': u'<a href=""http://theriddlerbot.com"" rel=""nofollow"">TheRiddlerBot</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [{u'id': 407933355, u'indices': [1, 17], u'id_str': u'407933355', u'screen_name': u'TheRevengerists', u'name': u'Revengerists #RESIST'}], u'hashtags': [], u'urls': []}, u'in_reply_to_screen_name': u'TheRevengerists', u'in_reply_to_user_id': 407933355, u'retweet_count': 0, u'id_str': u'841294530813022208', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': u'407933355', u'lang': u'en', u'created_at': u'Mon Mar 13 14:27:01 +0000 2017', u'in_reply_to_status_id_str': u'841294078193090562', u'place': None}, coordinates=None, entities={u'symbols': [], u'user_mentions': [{u'id': 407933355, u'indices': [1, 17], u'id_str': u'407933355', u'screen_name': u'TheRevengerists', u'name': u'Revengerists #RESIST'}], u'hashtags': [], u'urls': []}, in_reply_to_screen_name=u'TheRevengerists', id_str=u'841294530813022208', retweet_count=0, in_reply_to_user_id=407933355, favorited=False, source_url=u'http://theriddlerbot.com', geo=None, in_reply_to_user_id_str=u'407933355', lang=u'en', created_at=datetime.datetime(2017, 3, 13, 14, 27, 1), in_reply_to_status_id_str=u'841294078193090562', place=None, retweeted=False)",TRUE,FALSE,FALSE,TheRiddlerBot,1
224383150,224383150,mlegoudes262,None,None,None,54,1351,0,Wed Dec 08 21:29:31 +0000 2010,2,FALSE,6,en,"{'truncated': False, 'entities': {'user_mentions': [], 'urls': [{'expanded_url': 'http://goo.gl/661Tda', 'url': 'https://t.co/eqp8aPxAdM', 'display_url': 'goo.gl/661Tda', 'indices': [47, 70]}], 'hashtags': [], 'media': [{'type': 'photo', 'expanded_url': 'https://twitter.com/mlegoudes262/status/751559296853372928/photo/1', 'sizes': {'small': {'h': 402, 'w': 604, 'resize': 'fit'}, 'large': {'h': 402, 'w': 604, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}, 'medium': {'h': 402, 'w': 604, 'resize': 'fit'}}, 'media_url_https': 'https://pbs.twimg.com/media/Cm4TMZEXEAQ189O.jpg', 'id_str': '751559291425984516', 'id': 751559291425984516, 'url': 'https://t.co/KfGYRyT0SV', 'indices': [71, 94], 'media_url': 'http://pbs.twimg.com/media/Cm4TMZEXEAQ189O.jpg', 'display_url': 'pic.twitter.com/KfGYRyT0SV'}], 'symbols': []}, 'in_reply_to_status_id_str': None, 'created_at': 'Fri Jul 08 23:31:14 +0000 2016', 'id_str': '751559296853372928', 'in_reply_to_user_id': None, 'contributors': None, 'favorited': False, 'retweet_count': 0, 'favorite_count': 0, 'place': None, 'in_reply_to_screen_name': None, 'retweeted': False, 'extended_entities': {'media': [{'type': 'photo', 'expanded_url': 'https://twitter.com/mlegoudes262/status/751559296853372928/photo/1', 'sizes': {'small': {'h': 402, 'w': 604, 'resize': 'fit'}, 'large': {'h': 402, 'w': 604, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}, 'medium': {'h': 402, 'w': 604, 'resize': 'fit'}}, 'media_url_https': 'https://pbs.twimg.com/media/Cm4TMZEXEAQ189O.jpg', 'id_str': '751559291425984516', 'id': 751559291425984516, 'url': 'https://t.co/KfGYRyT0SV', 'indices': [71, 94], 'media_url': 'http://pbs.twimg.com/media/Cm4TMZEXEAQ189O.jpg', 'display_url': 'pic.twitter.com/KfGYRyT0SV'}]}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'lang': 'en', 'possibly_sensitive': False, 'in_reply_to_user_id_str': None, 'is_quote_status': False, 'id': 751559296853372928, 'text': 'Click|Come on|Join|Find me|Contact|Write me] - https://t.co/eqp8aPxAdM https://t.co/KfGYRyT0SV', 'coordinates': None, 'in_reply_to_status_id': None, 'geo': None}",TRUE,FALSE,FALSE,Laurie Poulsen,1
11347122,11347122,GavinNewsom,California,Husband & father. 49th Lt. Gov. of California and former SF Mayor.,https://t.co/XrGnfzTDJD,1300380,24248,7089,Wed Dec 19 19:53:42 +0000 2007,4184,TRUE,8536,en,"{u'contributors': None, u'truncated': True, u'text': u'The GOP health care bill is like a private jet.  Everyone has ""access"" but 99.9% of the population could never affo\u2026 https://t.co/J7WrrqZEGo', u'is_quote_status': True, u'in_reply_to_status_id': None, u'id': 841041509780606977, u'favorite_count': 42, u'source': u'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', u'quoted_status_id': 841033560328941568, u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/J7WrrqZEGo', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/i/web/status/841041509780606977', u'display_url': u'twitter.com/i/web/status/8\u2026'}]}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 28, u'id_str': u'841041509780606977', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': None, u'possibly_sensitive': False, u'lang': u'en', u'created_at': u'Sun Mar 12 21:41:36 +0000 2017', u'quoted_status_id_str': u'841033560328941568', u'in_reply_to_status_id_str': None, u'place': None}",FALSE,FALSE,FALSE,Gavin Newsom,0
7.71E+17,7.71E+17,goldenratiobot,The Internet,nature is beautiful! i'm a bot that tweets 5x/day. built by @lanewinfield,None,533,2,34,Thu Sep 01 02:24:40 +0000 2016,2,FALSE,1056,en,"{u'contributors': None, u'truncated': False, u'text': u'LOOK! https://t.co/H14Re5SU4I', u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 841004652183314432, u'favorite_count': 0, u'source': u'<a href=""http://brianmoore.com"" rel=""nofollow"">Golden Ratio Bot</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [], u'media': [{u'expanded_url': u'https://twitter.com/goldenratiobot/status/841004652183314432/photo/1', u'display_url': u'pic.twitter.com/H14Re5SU4I', u'url': u'https://t.co/H14Re5SU4I', u'media_url_https': u'https://pbs.twimg.com/media/C6vZRfpXAAE37HQ.jpg', u'id_str': u'841004650010705921', u'sizes': {u'small': {u'h': 177, u'resize': u'fit', u'w': 236}, u'large': {u'h': 177, u'resize': u'fit', u'w': 236}, u'medium': {u'h': 177, u'resize': u'fit', u'w': 236}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'indices': [6, 29], u'type': u'photo', u'id': 841004650010705921, u'media_url': u'http://pbs.twimg.com/media/C6vZRfpXAAE37HQ.jpg'}]}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 0, u'id_str': u'841004652183314432', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': None, u'possibly_sensitive': False, u'lang': u'en', u'created_at': u'Sun Mar 12 19:15:08 +0000 2017', u'in_reply_to_status_id_str': None, u'place': None, u'extended_entities': {u'media': [{u'expanded_url': u'https://twitter.com/goldenratiobot/status/841004652183314432/photo/1', u'display_url': u'pic.twitter.com/H14Re5SU4I', u'url': u'https://t.co/H14Re5SU4I', u'media_url_https': u'https://pbs.twimg.com/media/C6vZRfpXAAE37HQ.jpg', u'id_str': u'841004650010705921', u'sizes': {u'small': {u'h': 177, u'resize': u'fit', u'w': 236}, u'large': {u'h': 177, u'resize': u'fit', u'w': 236}, u'medium': {u'h': 177, u'resize': u'fit', u'w': 236}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'indices': [6, 29], u'type': u'photo', u'id': 841004650010705921, u'media_url': u'http://pbs.twimg.com/media/C6vZRfpXAAE37HQ.jpg'}]}}",TRUE,FALSE,FALSE,Golden Ratio Bot,1
2257181660,2257181660,VanityScience,None,Purveyor of custom scientific eponyms since 2014. Eponyms coined for random followers every few hours. Bot by @arbesman.,http://t.co/k9ivDE0Qmx,343,1,8,Sun Dec 22 02:42:50 +0000 2013,0,FALSE,5140,en,"{u'contributors': None, u'truncated': False, u'text': u'MannaFrostTrio-Tsen temperature, named after @MannaFrostTrio and @thevictor (physics)', u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 840955552930906113, u'favorite_count': 0, u'source': u'<a href=""http://www.arbesman.net/"" rel=""nofollow"">Vanity Science</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [{u'id': 400111726, u'indices': [45, 60], u'id_str': u'400111726', u'screen_name': u'MannaFrostTrio', u'name': u'MannaFrostTrio'}, {u'id': 14460084, u'indices': [65, 75], u'id_str': u'14460084', u'screen_name': u'thevictor', u'name': u'Victor Tsen'}], u'hashtags': [], u'urls': []}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 0, u'id_str': u'840955552930906113', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': None, u'lang': u'en', u'created_at': u'Sun Mar 12 16:00:02 +0000 2017', u'in_reply_to_status_id_str': None, u'place': None}",TRUE,FALSE,FALSE,Vanity Science,1
80405070,80405070,jem,From Wales to sunny Los Angeles,"Platinum Recording Artist, Producer, Writer, Director, Art-Lover, Entrepreneur, 24/7 Creative Opportunist. Changing the world one song at a time..!",https://t.co/e5xnY4LVp5,8217,2927,368,Tue Oct 06 21:16:12 +0000 2009,756,TRUE,1396,en,"{u'contributors': None, u'truncated': False, u'text': u""RT @ChicagoTafia: 23 years since the legendary comedian #BillHicks died. Spinning 'Just a Ride' by Welsh artist @Jem in his honour https://\u2026"", u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 836091875446530049, u'favorite_count': 0, u'source': u'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [{u'id': 50419863, u'indices': [3, 16], u'id_str': u'50419863', u'screen_name': u'ChicagoTafia', u'name': u'Chicago Tafia'}, {u'id': 80405070, u'indices': [112, 116], u'id_str': u'80405070', u'screen_name': u'jem', u'name': u'Jem'}], u'hashtags': [{u'indices': [56, 66], u'text': u'BillHicks'}], u'urls': []}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 2, u'id_str': u'836091875446530049', u'favorited': False, u'retweeted_status': {u'contributors': None, u'truncated': True, u'text': u""23 years since the legendary comedian #BillHicks died. Spinning 'Just a Ride' by Welsh artist @Jem in his honour\u2026 https://t.co/HHcLO5RSDQ"", u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 835893586977751040, u'favorite_count': 6, u'source': u'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [{u'id': 80405070, u'indices': [94, 98], u'id_str': u'80405070', u'screen_name': u'jem', u'name': u'Jem'}], u'hashtags': [{u'indices': [38, 48], u'text': u'BillHicks'}], u'urls': [{u'url': u'https://t.co/HHcLO5RSDQ', u'indices': [114, 137], u'expanded_url': u'https://twitter.com/i/web/status/835893586977751040', u'display_url': u'twitter.com/i/web/status/8\u2026'}]}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 2, u'id_str': u'835893586977751040', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': None, u'possibly_sensitive': False, u'lang': u'en', u'created_at': u'Sun Feb 26 16:45:35 +0000 2017', u'in_reply_to_status_id_str': None, u'place': None}, u'geo': None, u'in_reply_to_user_id_str': None, u'lang': u'en', u'created_at': u'Mon Feb 27 05:53:31 +0000 2017', u'in_reply_to_status_id_str': None, u'place': None}",FALSE,FALSE,FALSE,Jem,0
2372788392,2372788392,SRMicro_papers,None,Twitterbot for anything related to super resolution microscopy,None,307,4,14,3/4/2014 23:12,5,FALSE,2060,en,"PEGylated Perylenemonoimide-Dithienylethene for Super-Resolution Imaging of Liposomes. by  Liu JX, Xin B, Li C, Xi? https://t.co/2ctBJw6sPe",TRUE,FALSE,FALSE,Super Res Microscopy,1
2807629993,2807629993,ribosome_papers,"Cambridge, MA","New #Ribosome papers from #Pubmed, #bioRxiv, and #arXiv. Also blogged at: https://t.co/diDVXXlf99 | maintained by @slavovLab",https://t.co/4aH0XqsYO1,300,1,17,9/13/2014 14:31,0,FALSE,4092,en,Pubmed:  Dual effect of chloramphenicol peptides on ribosome inhibition. https://t.co/DSzPrENrmo,TRUE,FALSE,FALSE,Ribosome Papers,1
